index,area,city
487,Arugonda ,2
488,Avalkonda ,2
489,Badikayalapalle ,2
490,Baireddipalle ,2
491,Bairupalle ,2
492,Baitapalle ,2
493,Balaganganapalle ,2
494,Balireddigaripalle ,2
495,Balla ,2
496,Bandapalle ,2
497,Bandarlapalle ,2
498,Bandrevu ,2
499,Bangarupalem ,2
500,Basinikonda ,3
501,Bayappagaripalle ,3
502,Beerangi ,2
503,Beerangi Kothakota ,2
504,Belupalle ,2
505,Bhimaganipalle ,2
506,Bisanatham ,2
507,Bodaguttapalle ,2
508,Bommasamudram ,2
509,Boochipalle ,2
510,Booragamanda ,2
511,Boorlapalle ,2
512,Boyanapalle ,2
513,Budithireddipalle ,2
514,Burakayalakota ,2
515,Chalamangalam ,2
516,Chandramakulapalle ,3
517,Chappidipalle ,2
518,Charala ,2
519,Chedalla ,2
520,Cheekalabailu ,3
521,Cheekunatham ,2
522,Cheelapalle ,2
523,Cheldiganipalle ,2
524,Chembakur ,2
525,Chennamagudipalle ,2
526,Cherlopalle ,2
527,Cherukuvaipalle ,2
528,Chinnaickenpalle ,2
529,Chinnakalikiri ,2
530,Chinnamreddikandriga ,2
531,Chinnatippasamudram ,2
532,Chintamakulapalle ,2
533,Chittapara ,2
534,Chittoor Bazar ,2
535,Chittoor H.O,2
536,Chittoor North ,2
537,Chittoor NPO,2
538,Chittoor Sugarfactory ,2
539,Chokkandlapalle ,2
540,Chowdepalle ,2
541,Ctr Collectorate ,2
542,Ctr Court Buildings ,2
543,Ctr Market ,2
544,Dadepallerajulur ,2
545,Danamaiahgarivuru ,2
546,Dandapalle ,2
547,Dandikuppam ,2
548,Dasarlapalle ,2
549,Dasegowniyur ,2
550,Deenabandupuram ,2
551,Devalacheruvu ,2
552,Devalampet ,2
553,Devaragudipalle ,2
554,Diguvamagham ,2
555,Diguvamasapalle ,2
556,Diguvatadakara ,2
557,Doddipalle ,2
558,Dravidian University ,2
559,Eachaneri ,2
560,Edigapalle ,3
561,Ellampalle Kothuru ,2
562,Ellamrajupalle ,2
563,Erlampalle ,2
564,Erraballe ,2
565,Erracheruvupalle ,2
566,Errandlapalle ,2
567,Gaddamvaripalle ,2
568,Gajulapalle ,2
569,Gajulavaripalle ,2
570,Gandlapalle ,2
571,Gandrajupalle ,2
572,Gangadhara Nellore ,2
573,Gangavaram ,2
574,Gattuvaripalle ,2
575,Ghattu ,2
576,Gollapalle ,2
577,Gollapalle BRK ,2
578,Gollapalle YDM ,2
579,Gonamakulapalle ,2
580,Gongivaripalle ,2
581,Gopidinne ,2
582,Govindareddipalle ,2
583,Gudipala ,2
584,Gudipalle ,2
585,Gudlanayanipalle ,2
586,Gudupalle ,2
587,Gudyanampalle ,2
588,Gundagallu ,2
589,Gurramkonda Vandlavuru ,2
590,Horsely Hills ,3
591,Ilavaripalle ,2
592,Iral ,2
593,Irikipenta ,2
594,Iruvaram ,2
595,Itikanellore ,2
596,Jakkidona ,2
597,Jambuvaripalle ,2
598,Javvanapalle ,2
599,K.G. Satram ,2
600,Kadapanatham ,2
601,Kadirinathunikota ,2
602,Kagathi ,2
603,Kajoor ,2
604,Kalagatur ,2
605,Kalavagunta ,2
606,Kalavapalle ,2
607,Kallupalle ,2
608,Kamachinnayapalle ,2
609,Kamathamur ,2
610,Kammapalle ,2
611,Kammguttapalle ,2
612,Kanamanapalle ,2
613,Kandriga ,2
614,Kandukuru ,2
615,Kangundi ,2
616,Kanipakam ,2
617,Kannemadugu ,2
618,Karasanapalle ,2
619,Karidirivaripalle ,2
620,Karlagatta ,2
621,Kasiralla ,2
622,Katappagaripalle ,2
623,Katiperi ,2
624,Katnagallu ,2
625,Kattakindapalle ,2
626,Kattmanchi ,2
627,Keelapatla ,2
628,Keenatipalle ,2
629,Keeramanda ,2
630,Kolamasanapalle ,2
631,Kondamarri ,2
632,Konerukuppam ,2
633,Konganapalle ,2
634,Kongattam ,2
635,Kosuvaripalle ,2
636,Kotala ,2
637,Kotalam ,2
638,Kotevaripalle ,3
639,Kotevuru ,3
640,Kothakota ,2
641,Kothapalle ,2
642,Kothapalle KNP ,2
643,Kothapalle ,2
644,Kothapeta Madanapalle ,2
645,Kothavaripalle ,2
646,Kothavenkatapuram ,2
647,Kotrakona ,2
648,Krishnadasanapalle ,2
649,Ksheerasamudram ,2
650,Kudurucheemanapalle ,2
651,Kukkalapalle ,2
652,Kuppam ,2
653,Kurabalakota ,2
654,Kurizala ,2
655,Kurmai ,2
656,L.S.Farm ,2
657,Lakkanapalle ,2
658,Lakshmipuram ,2
659,Lalugardens ,2
660,Madanapalle Bazar ,2
661,Madanapalle H.O,2
662,Madanapalle Society Colony ,2
663,Madanapalle Spinning Mills Gds ,2
664,Maddinayanipalle ,2
665,Madhavaram ,2
666,Madhavaram IRM ,2
667,Madireddipalle ,2
668,Madumuru ,2
669,Magandlapalle ,2
670,Mahadevamangalam ,2
671,Mahasamudram ,2
672,Malenatham ,2
673,Malepadu ,3
674,Mallakunta ,2
675,Mallan R.S. ,2
676,Mallela ,2
677,Mamadugu ,2
678,Mandipetkotur ,2
679,Mangalapalle ,2
680,Mangunta ,2
681,Mapakshi ,2
682,Marakalakuppam ,2
683,Maredupalle ,2
684,Marrimakulapalle ,2
685,Marripalle ,2
686,Matavalam ,2
687,Mathyam ,2
688,Matluvaripalle ,2
689,Mekalachinnepalle ,2
690,Melamdoddi ,2
691,Melmai ,2
692,Miniki ,2
693,Mittachintavaripalle ,2
694,Mittapalle ,2
695,Mittapalle KPM ,2
696,Mittoor ,2
697,Mogili Venkatagiri ,2
698,Moram ,2
699,Mudaramdoddi ,2
700,Muddanapalle ,2
701,Mudigolam ,2
702,Mudivedu ,2
703,Mukkalathur ,2
704,Mulakalacheruvu ,2
705,Mulakalacheruvu R.S. ,2
706,Murukambattu ,2
707,Musalikunta ,2
708,Mushtoor ,2
709,Muthireval ,2
710,Muthukur ,2
711,Muthukur NRP ,2
712,Muthukuru ,2
713,Nadigadda ,2
714,Nadimpalle ,2
715,Nadimpalle RBDR ,2
716,Nalagampalle ,2
717,Nallappareddiyuru ,2
718,Nampalle ,2
719,Nanasahebpet ,2
720,Nandanuru ,2
721,Nangamangalam ,2
722,Naniyala ,2
723,Nanjampet ,2
724,Naragallu ,2
725,Naraharipet ,2
726,Narasimhapuram ,2
727,Narasimharajapuram ,2
728,Narasingarayanipettah ,2
729,Nariganipalle ,2
730,Narigapalle ,2
731,Nawabkota ,2
732,Neerugattuvaripalle ,3
733,Nekkondi ,2
734,Nelavoy ,2
735,Nellaipalle ,2
736,Nellapalle ,2
737,Nellimanda ,2
738,Nellipatla ,2
739,Nernipalle ,2
740,Nidigunta ,2
741,Nimmanapalle ,2
742,Noolakunta ,2
743,Obireddipalle ,2
